IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP253
4774;карниз;1.50.114;Нет;3863
4775;карниз;1.50.115;Нет;3115
4776;карниз;1.50.116;Нет;7845
4777;карниз;1.50.117;Нет;8250
4778;карниз;1.50.118;Нет;8698
4779;карниз;1.50.119;Нет;4282
4780;карниз;1.50.120;Нет;8938
4781;карниз;1.50.121;Нет;4192
4782;карниз;1.50.122;Нет;2754
4783;карниз;1.50.100;Нет;3869
4784;карниз;1.50.102;Нет;3069
4785;карниз;1.50.103;Нет;3084
4786;карниз;1.50.104;Нет;7620
4787;карниз;1.50.105;Нет;3758
4788;карниз;1.50.106;Нет;4057
4789;карниз;1.50.107;Нет;8025
4790;карниз;1.50.109;Нет;8698
4791;карниз;1.50.110;Нет;9852
4792;карниз;1.50.111;Нет;8070
4793;карниз;1.50.112;Нет;3998
4794;карниз;1.50.113;Нет;4237
4795;карниз;1.50.123;Нет;2844
4796;карниз;1.50.124;Нет;7277
4797;карниз;1.50.125;Нет;5974
4798;карниз;1.50.126;Нет;4192
4799;карниз;1.50.127;Нет;4057
4800;карниз;1.50.128;Нет;7111
4801;карниз;1.50.129;Нет;4103
4802;карниз;1.50.130;Нет;2875
4803;карниз;1.50.131;Нет;6992
4804;карниз;1.50.132;Нет;10436
4805;карниз;1.50.133;Нет;7111
4806;карниз;1.50.134;Нет;10077
4807;карниз;1.50.135;Нет;7336
4808;карниз;1.50.136;Нет;8145
4809;карниз;1.50.137;Нет;10661
4810;карниз;1.50.138;Нет;8938
4811;карниз;1.50.139;Нет;6917
4812;карниз;1.50.140;Нет;3983
4813;карниз;1.50.141;Нет;3983
4814;карниз;1.50.142;Нет;8938
4815;карниз;1.50.143;Нет;3923
4816;карниз;1.50.144;Нет;4282
4817;карниз;1.50.145;Нет;11349
4818;карниз;1.50.146;Нет;7231
4819;карниз;1.50.147;Нет;8938
4820;карниз;1.50.148;Нет;7605
4821;карниз;1.50.149;Нет;10935
4822;карниз;1.50.150;Нет;2934
4823;карниз;1.50.151;Нет;11513
4824;карниз;1.50.152;Нет;11513
4825;карниз;1.50.153;Нет;11513
4826;карниз;1.50.154;Нет;2680
4827;карниз;1.50.155;Нет;2665
4828;карниз;1.50.156;Нет;2949
4829;карниз;1.50.157;Нет;2739
4830;карниз;1.50.158;Нет;2770
4831;карниз;1.50.159;Нет;2844
4832;карниз;1.50.160;Нет;3758
4833;карниз;1.50.162;Нет;3923
4834;карниз;1.50.163;Нет;7502
4835;карниз;1.50.164;Нет;8250
4836;карниз;1.50.165;Нет;3923
4837;карниз;1.50.166;Нет;7950
4838;карниз;1.50.167;Нет;8070
4839;карниз;1.50.168;Нет;8070
4840;карниз;1.50.169;Нет;7605
4841;карниз;1.50.170;Нет;4326
4842;карниз;1.50.171;Нет;2830
4843;карниз;1.50.172;Нет;2934
4844;карниз;1.50.173;Нет;2949
4845;карниз;1.50.174;Нет;3010
4846;карниз;1.50.175;Нет;8025
4847;карниз;1.50.176;Нет;7336
4848;карниз;1.50.177;Нет;4372
4849;карниз;1.50.180;Нет;7441
4850;карниз;1.50.181;Нет;4192
4851;карниз;1.50.182;Нет;4132
4852;карниз;1.50.183;Нет;4477
4853;карниз;1.50.184;Нет;4477
4854;карниз;1.50.185;Нет;7845
4855;карниз;1.50.186;Нет;4477
4856;карниз;1.50.187;Нет;3983
4857;карниз;1.50.188;Нет;3983
4858;карниз;1.50.190;Нет;2995
4859;карниз;1.50.191;Нет;2920
4860;карниз;1.50.192;Нет;4057
4861;карниз;1.50.193;Нет;4177
4862;карниз;1.50.194;Нет;3863
4863;карниз;1.50.195;Нет;4192
4864;карниз;1.50.196;Нет;4057
4865;карниз;1.50.197;Нет;4477
4866;карниз;1.50.198;Нет;4402
4867;карниз;1.50.200;Нет;3983
4868;карниз;1.50.201;Нет;9911
4869;карниз;1.50.202;Нет;7157
4870;карниз;1.50.203;Нет;8070
4871;карниз;1.50.204;Нет;3908
4872;карниз;1.50.208;Нет;4341
4873;карниз;1.50.209;Нет;9283
4874;карниз;1.50.210;Нет;9701
4875;карниз;1.50.211;Нет;9942
4876;карниз;1.50.212;Нет;9942
4877;карниз;1.50.220;Нет;8595
4878;карниз;1.50.221;Нет;10077
4879;карниз;1.50.222;Нет;11109
4880;карниз;1.50.250;Нет;7382
4881;карниз;1.50.251;Нет;2815
4882;карниз;1.50.252;Нет;8475
4883;карниз;1.50.253;Нет;4192
4884;карниз;1.50.254;Нет;6333
4885;карниз;1.50.255;Нет;7126
4886;карниз;1.50.256;Нет;8175
4887;карниз;1.50.257;Нет;2920
4888;карниз;1.50.258;Нет;2695
4889;карниз;1.50.259;Нет;3847
4890;карниз;1.50.260;Нет;9926
4891;карниз;1.50.261;Нет;7366
4892;карниз;1.50.262;Нет;8265
4893;карниз;1.50.264;Нет;10121
4894;карниз;1.50.265;Нет;4341
4895;карниз;1.50.266;Нет;3908
4896;карниз;1.50.267;Нет;8295
4897;карниз;1.50.268;Нет;8534
4898;карниз;1.50.269;Нет;8998
4899;карниз;1.50.270;Нет;9672
4900;карниз;1.50.271;Нет;12397
4901;карниз;1.50.273;Нет;10346
4902;карниз FLEX;1.50.114;Да;7726
4903;карниз FLEX;1.50.115;Да;6230
