IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157
4774;карниз 1.50.114;1.50.114;Нет
4775;карниз 1.50.115;1.50.115;Нет
4776;карниз 1.50.116;1.50.116;Нет
4777;карниз 1.50.117;1.50.117;Нет
4778;карниз 1.50.118;1.50.118;Нет
4779;карниз 1.50.119;1.50.119;Нет
4780;карниз 1.50.120;1.50.120;Нет
4781;карниз 1.50.121;1.50.121;Нет
4782;карниз 1.50.122;1.50.122;Нет
4783;карниз 1.50.100;1.50.100;Нет
4784;карниз 1.50.102;1.50.102;Нет
4785;карниз 1.50.103;1.50.103;Нет
4786;карниз 1.50.104;1.50.104;Нет
4787;карниз 1.50.105;1.50.105;Нет
4788;карниз 1.50.106;1.50.106;Нет
4789;карниз 1.50.107;1.50.107;Нет
4790;карниз 1.50.109;1.50.109;Нет
4791;карниз 1.50.110;1.50.110;Нет
4792;карниз 1.50.111;1.50.111;Нет
4793;карниз 1.50.112;1.50.112;Нет
4794;карниз 1.50.113;1.50.113;Нет
4795;карниз 1.50.123;1.50.123;Нет
4796;карниз 1.50.124;1.50.124;Нет
4797;карниз 1.50.125;1.50.125;Нет
4798;карниз 1.50.126;1.50.126;Нет
4799;карниз 1.50.127;1.50.127;Нет
4800;карниз 1.50.128;1.50.128;Нет
4801;карниз 1.50.129;1.50.129;Нет
4802;карниз 1.50.130;1.50.130;Нет
4803;карниз 1.50.131;1.50.131;Нет
4804;карниз 1.50.132;1.50.132;Нет
4805;карниз 1.50.133;1.50.133;Нет
4806;карниз 1.50.134;1.50.134;Нет
4807;карниз 1.50.135;1.50.135;Нет
4808;карниз 1.50.136;1.50.136;Нет
4809;карниз 1.50.137;1.50.137;Нет
4810;карниз 1.50.138;1.50.138;Нет
4811;карниз 1.50.139;1.50.139;Нет
4812;карниз 1.50.140;1.50.140;Нет
4813;карниз 1.50.141;1.50.141;Нет
4814;карниз 1.50.142;1.50.142;Нет
4815;карниз 1.50.143;1.50.143;Нет
4816;карниз 1.50.144;1.50.144;Нет
4817;карниз 1.50.145;1.50.145;Нет
4818;карниз 1.50.146;1.50.146;Нет
4819;карниз 1.50.147;1.50.147;Нет
4820;карниз 1.50.148;1.50.148;Нет
4822;карниз 1.50.150;1.50.150;Нет
4823;карниз 1.50.151;1.50.151;Нет
4824;карниз 1.50.152;1.50.152;Нет
4825;карниз 1.50.153;1.50.153;Нет
4826;карниз 1.50.154;1.50.154;Нет
4827;карниз 1.50.155;1.50.155;Нет
4828;карниз 1.50.156;1.50.156;Нет
4829;карниз 1.50.157;1.50.157;Нет
4830;карниз 1.50.158;1.50.158;Нет
4831;карниз 1.50.159;1.50.159;Нет
4832;карниз 1.50.160;1.50.160;Нет
4833;карниз 1.50.162;1.50.162;Нет
4834;карниз 1.50.163;1.50.163;Нет
4835;карниз 1.50.164;1.50.164;Нет
4836;карниз 1.50.165;1.50.165;Нет
4837;карниз 1.50.166;1.50.166;Нет
4838;карниз 1.50.167;1.50.167;Нет
4839;карниз 1.50.168;1.50.168;Нет
4840;карниз 1.50.169;1.50.169;Нет
4841;карниз 1.50.170;1.50.170;Нет
4842;карниз 1.50.171;1.50.171;Нет
4843;карниз 1.50.172;1.50.172;Нет
4844;карниз 1.50.173;1.50.173;Нет
4845;карниз 1.50.174;1.50.174;Нет
4846;карниз 1.50.175;1.50.175;Нет
4847;карниз 1.50.176;1.50.176;Нет
4848;карниз 1.50.177;1.50.177;Нет
4849;карниз 1.50.180;1.50.180;Нет
4850;карниз 1.50.181;1.50.181;Нет
4851;карниз 1.50.182;1.50.182;Нет
4852;карниз 1.50.183;1.50.183;Нет
4853;карниз 1.50.184;1.50.184;Нет
4854;карниз 1.50.185;1.50.185;Нет
4855;карниз 1.50.186;1.50.186;Нет
4856;карниз 1.50.187;1.50.187;Нет
4857;карниз 1.50.188;1.50.188;Нет
4858;карниз 1.50.190;1.50.190;Нет
4859;карниз 1.50.191;1.50.191;Нет
4860;карниз 1.50.192;1.50.192;Нет
4861;карниз 1.50.193;1.50.193;Нет
4862;карниз 1.50.194;1.50.194;Нет
4863;карниз 1.50.195;1.50.195;Нет
4864;карниз 1.50.196;1.50.196;Нет
4865;карниз 1.50.197;1.50.197;Нет
4866;карниз 1.50.198;1.50.198;Нет
4867;карниз 1.50.200;1.50.200;Нет
4868;карниз 1.50.201;1.50.201;Нет
4869;карниз 1.50.202;1.50.202;Нет
4870;карниз 1.50.203;1.50.203;Нет
4871;карниз 1.50.204;1.50.204;Нет
4872;карниз 1.50.208;1.50.208;Нет
4873;карниз 1.50.209;1.50.209;Нет
4874;карниз 1.50.210;1.50.210;Нет
4875;карниз 1.50.211;1.50.211;Нет
4876;карниз 1.50.212;1.50.212;Нет
4877;карниз 1.50.220;1.50.220;Нет
4878;карниз 1.50.221;1.50.221;Нет
4879;карниз 1.50.222;1.50.222;Нет
4880;карниз 1.50.250;1.50.250;Нет
4881;карниз 1.50.251;1.50.251;Нет
4882;карниз 1.50.252;1.50.252;Нет
4883;карниз 1.50.253;1.50.253;Нет
4884;карниз 1.50.254;1.50.254;Нет
4885;карниз 1.50.255;1.50.255;Нет
4886;карниз 1.50.256;1.50.256;Нет
4887;карниз 1.50.257;1.50.257;Нет
4888;карниз 1.50.258;1.50.258;Нет
4889;карниз 1.50.259;1.50.259;Нет
4890;карниз 1.50.260;1.50.260;Нет
4891;карниз 1.50.261;1.50.261;Нет
4892;карниз 1.50.262;1.50.262;Нет
4893;карниз 1.50.264;1.50.264;Нет
4894;карниз 1.50.265;1.50.265;Нет
4895;карниз 1.50.266;1.50.266;Нет
4896;карниз 1.50.267;1.50.267;Нет
4897;карниз 1.50.268;1.50.268;Нет
4898;карниз 1.50.269;1.50.269;Нет
4899;карниз 1.50.270;1.50.270;Нет
4900;карниз 1.50.271;1.50.271;Нет
4901;карниз 1.50.273;1.50.273;Нет
4902;карниз 1.50.114 гибкий;1.50.114;Да
4903;карниз 1.50.115 гибкий;1.50.115;Да
4904;карниз 1.50.116 гибкий;1.50.116;Да
4905;карниз 1.50.117 гибкий;1.50.117;Да
4906;карниз 1.50.118 гибкий;1.50.118;Да
4907;карниз 1.50.119 гибкий;1.50.119;Да
4908;карниз 1.50.120 гибкий;1.50.120;Да
4909;карниз 1.50.121 гибкий;1.50.121;Да
4910;карниз 1.50.122 гибкий;1.50.122;Да
4911;карниз 1.50.100 гибкий;1.50.100;Да
